,AS_ID,RES_TYPE,RES_ID,PNODE_ID,BUS_ID,FNMVERSION,RELEASE_DATE,GROUP,CEC Plant ID,Lng,Lat
1331,AS_SP15,GEN,SBERDO_2_RTS007,SANBRDNO_6_GN003,24214_SANBRDNO_66.0_GU7,22M7_DB114,2022-07-28T00:00:00,3966,S0185,-117.228082494,34.0863644410001
1332,AS_SP15,GEN,SBERDO_2_RTS011,SANBRDNO_6_N014,24214_SANBRDNO_66.0_GU11,22M7_DB114,2022-07-28T00:00:00,3967,S0189,-117.241007359,34.076027803
1333,AS_SP26,GEN,SBERDO_2_RTS011,SANBRDNO_6_N014,24214_SANBRDNO_66.0_GU11,22M7_DB114,2022-07-28T00:00:00,3967,S0189,-117.241007359,34.076027803
1334,AS_SP26,GEN,SBERDO_2_RTS013,SANBRDNO_6_GN004,24214_SANBRDNO_66.0_GU13,22M7_DB114,2022-07-28T00:00:00,3968,S0190,-117.234812013,34.083533994
1335,AS_SP15,GEN,SBERDO_2_RTS013,SANBRDNO_6_GN004,24214_SANBRDNO_66.0_GU13,22M7_DB114,2022-07-28T00:00:00,3968,S0190,-117.234812013,34.083533994
1336,AS_SP26,GEN,SBERDO_2_RTS016,SANBRDNO_6_GN005,24214_SANBRDNO_66.0_GU16,22M7_DB114,2022-07-28T00:00:00,3969,S0192,-117.234213995,34.0857074890001
1337,AS_SP15,GEN,SBERDO_2_RTS016,SANBRDNO_6_GN005,24214_SANBRDNO_66.0_GU16,22M7_DB114,2022-07-28T00:00:00,3969,S0192,-117.234213995,34.0857074890001
1338,AS_SP15,GEN,SBERDO_2_RTS048,SANBRDNO_2_N211,24214_SANBRDNO_66.0_GU48,22M7_DB114,2022-07-28T00:00:00,3970,S0322,-117.228079053,34.0826554060001
1339,AS_SP26,GEN,SBERDO_2_RTS048,SANBRDNO_2_N211,24214_SANBRDNO_66.0_GU48,22M7_DB114,2022-07-28T00:00:00,3970,S0322,-117.228079053,34.0826554060001
1340,AS_SP26,GEN,SBERDO_2_SNTANA,SANBRDNO_6_N007,24214_SANBRDNO_66.0_GUSN,22M7_DB114,2022-07-28T00:00:00,3971,H0462,-117.099067388,34.107591756
